Date,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk
2012-10-03T00:00:00,9,4
2012-10-03T01:00:00,6,4
2012-10-03T02:00:00,1,1
2012-10-03T03:00:00,3,2
2012-10-03T04:00:00,1,6
2012-10-03T05:00:00,10,21
2012-10-03T06:00:00,50,105
2012-10-03T07:00:00,95,257
2012-10-03T08:00:00,146,291
2012-10-03T09:00:00,104,172
2012-10-03T10:00:00,46,72
2012-10-03T11:00:00,32,10
2012-10-03T12:00:00,41,35
2012-10-03T13:00:00,48,42
2012-10-03T14:00:00,51,77
2012-10-03T15:00:00,92,72
2012-10-03T16:00:00,182,133
2012-10-03T17:00:00,391,192
2012-10-03T18:00:00,258,122
2012-10-03T19:00:00,69,59
2012-10-03T20:00:00,51,29
2012-10-03T21:00:00,38,25
2012-10-03T22:00:00,25,24
2012-10-03T23:00:00,12,5
2012-10-04T00:00:00,11,7
2012-10-04T01:00:00,0,3
2012-10-04T02:00:00,6,3
2012-10-04T03:00:00,3,0
2012-10-04T04:00:00,1,7
2012-10-04T05:00:00,11,15
2012-10-04T06:00:00,51,91
2012-10-04T07:00:00,89,230
2012-10-04T08:00:00,134,284
2012-10-04T09:00:00,94,147
2012-10-04T10:00:00,53,67
2012-10-04T11:00:00,55,53
2012-10-04T12:00:00,50,54
2012-10-04T13:00:00,71,55
2012-10-04T14:00:00,56,63
2012-10-04T15:00:00,74,73
2012-10-04T16:00:00,161,114
2012-10-04T17:00:00,353,154
2012-10-04T18:00:00,241,137
2012-10-04T19:00:00,107,57
2012-10-04T20:00:00,56,27
2012-10-04T21:00:00,39,31
2012-10-04T22:00:00,21,25
2012-10-04T23:00:00,30,11
2012-10-05T00:00:00,7,4
2012-10-05T01:00:00,4,4
2012-10-05T02:00:00,3,4
2012-10-05T03:00:00,2,2
2012-10-05T04:00:00,2,7
2012-10-05T05:00:00,7,18
2012-10-05T06:00:00,37,68
2012-10-05T07:00:00,101,218
2012-10-05T08:00:00,119,251
2012-10-05T09:00:00,81,131
2012-10-05T10:00:00,48,71
2012-10-05T11:00:00,61,43
2012-10-05T12:00:00,46,55
2012-10-05T13:00:00,50,62
2012-10-05T14:00:00,62,63
2012-10-05T15:00:00,84,80
2012-10-05T16:00:00,190,120
2012-10-05T17:00:00,290,144
2012-10-05T18:00:00,209,107
2012-10-05T19:00:00,73,42
2012-10-05T20:00:00,41,27
2012-10-05T21:00:00,31,11
2012-10-05T22:00:00,26,10
2012-10-05T23:00:00,16,16
2012-10-06T00:00:00,7,8
2012-10-06T01:00:00,5,10
2012-10-06T02:00:00,2,7
2012-10-06T03:00:00,2,1
2012-10-06T04:00:00,1,4
2012-10-06T05:00:00,2,3
2012-10-06T06:00:00,15,12
2012-10-06T07:00:00,16,17
2012-10-06T08:00:00,47,58
2012-10-06T09:00:00,55,59
2012-10-06T10:00:00,47,68
2012-10-06T11:00:00,48,76
2012-10-06T12:00:00,73,91
2012-10-06T13:00:00,82,95
2012-10-06T14:00:00,114,89
2012-10-06T15:00:00,96,115
2012-10-06T16:00:00,76,107
2012-10-06T17:00:00,73,107
2012-10-06T18:00:00,55,41
2012-10-06T19:00:00,38,40
2012-10-06T20:00:00,18,25
2012-10-06T21:00:00,15,18
2012-10-06T22:00:00,20,14
2012-10-06T23:00:00,19,15
2012-10-07T00:00:00,5,6
2012-10-07T01:00:00,5,12
2012-10-07T02:00:00,1,2
2012-10-07T03:00:00,2,4
2012-10-07T04:00:00,2,1
2012-10-07T05:00:00,3,6
2012-10-07T06:00:00,8,9
2012-10-07T07:00:00,12,14
2012-10-07T08:00:00,26,43
2012-10-07T09:00:00,36,67
2012-10-07T10:00:00,41,67
2012-10-07T11:00:00,71,94
2012-10-07T12:00:00,91,100
2012-10-07T13:00:00,99,129
2012-10-07T14:00:00,115,126
2012-10-07T15:00:00,109,122
2012-10-07T16:00:00,93,132
2012-10-07T17:00:00,73,118
2012-10-07T18:00:00,45,68
2012-10-07T19:00:00,23,26
2012-10-07T20:00:00,36,19
2012-10-07T21:00:00,35,12
2012-10-07T22:00:00,9,9
2012-10-07T23:00:00,11,5
2012-10-08T00:00:00,5,4
2012-10-08T01:00:00,2,2
2012-10-08T02:00:00,0,5
2012-10-08T03:00:00,4,1
2012-10-08T04:00:00,2,3
2012-10-08T05:00:00,7,16
2012-10-08T06:00:00,48,89
2012-10-08T07:00:00,94,233
2012-10-08T08:00:00,153,304
2012-10-08T09:00:00,104,174
2012-10-08T10:00:00,44,53
2012-10-08T11:00:00,44,55
2012-10-08T12:00:00,55,53
2012-10-08T13:00:00,44,52
2012-10-08T14:00:00,62,59
2012-10-08T15:00:00,75,92
2012-10-08T16:00:00,135,117
2012-10-08T17:00:00,390,214
2012-10-08T18:00:00,226,139
2012-10-08T19:00:00,95,73
2012-10-08T20:00:00,57,37
2012-10-08T21:00:00,35,28
2012-10-08T22:00:00,14,15
2012-10-08T23:00:00,13,11
2012-10-09T00:00:00,4,8
2012-10-09T01:00:00,2,1
2012-10-09T02:00:00,2,2
2012-10-09T03:00:00,3,5
2012-10-09T04:00:00,5,4
2012-10-09T05:00:00,9,22
2012-10-09T06:00:00,50,103
2012-10-09T07:00:00,110,258
2012-10-09T08:00:00,145,317
2012-10-09T09:00:00,112,163
2012-10-09T10:00:00,36,58
2012-10-09T11:00:00,45,29
2012-10-09T12:00:00,40,37
2012-10-09T13:00:00,37,46
2012-10-09T14:00:00,54,54
2012-10-09T15:00:00,72,62
2012-10-09T16:00:00,149,95
2012-10-09T17:00:00,400,197
2012-10-09T18:00:00,244,152
2012-10-09T19:00:00,105,58
2012-10-09T20:00:00,53,32
2012-10-09T21:00:00,34,30
2012-10-09T22:00:00,17,17
2012-10-09T23:00:00,14,9
2012-10-10T00:00:00,7,8
2012-10-10T01:00:00,2,1
2012-10-10T02:00:00,0,3
2012-10-10T03:00:00,3,1
2012-10-10T04:00:00,2,3
2012-10-10T05:00:00,9,16
2012-10-10T06:00:00,40,109
2012-10-10T07:00:00,95,245
2012-10-10T08:00:00,133,302
2012-10-10T09:00:00,99,156
2012-10-10T10:00:00,44,53
2012-10-10T11:00:00,21,34
2012-10-10T12:00:00,40,47
2012-10-10T13:00:00,48,46
2012-10-10T14:00:00,39,54
2012-10-10T15:00:00,65,65
2012-10-10T16:00:00,128,102
2012-10-10T17:00:00,377,155
2012-10-10T18:00:00,215,116
2012-10-10T19:00:00,94,51
2012-10-10T20:00:00,56,30
2012-10-10T21:00:00,38,24
2012-10-10T22:00:00,19,17
2012-10-10T23:00:00,13,10
2012-10-11T00:00:00,14,7
2012-10-11T01:00:00,6,4
2012-10-11T02:00:00,5,8
2012-10-11T03:00:00,2,0
2012-10-11T04:00:00,1,11
2012-10-11T05:00:00,12,0
2012-10-11T06:00:00,41,2
2012-10-11T07:00:00,79,225
2012-10-11T08:00:00,122,282
2012-10-11T09:00:00,48,141
2012-10-11T10:00:00,0,4
2012-10-11T11:00:00,5,87
2012-10-11T12:00:00,37,44
2012-10-11T13:00:00,58,60
2012-10-11T14:00:00,56,52
2012-10-11T15:00:00,69,74
2012-10-11T16:00:00,135,135
2012-10-11T17:00:00,360,157
2012-10-11T18:00:00,186,113
2012-10-11T19:00:00,92,57
2012-10-11T20:00:00,60,44
2012-10-11T21:00:00,45,26
2012-10-11T22:00:00,19,29
2012-10-11T23:00:00,16,17
2012-10-12T00:00:00,9,8
2012-10-12T01:00:00,6,7
2012-10-12T02:00:00,1,4
2012-10-12T03:00:00,3,4
2012-10-12T04:00:00,3,2
2012-10-12T05:00:00,4,10
2012-10-12T06:00:00,30,57
2012-10-12T07:00:00,58,125
2012-10-12T08:00:00,86,182
2012-10-12T09:00:00,45,100
2012-10-12T10:00:00,29,33
2012-10-12T11:00:00,31,27
2012-10-12T12:00:00,28,41
2012-10-12T13:00:00,33,39
2012-10-12T14:00:00,30,35
2012-10-12T15:00:00,63,50
2012-10-12T16:00:00,96,69
2012-10-12T17:00:00,212,92
2012-10-12T18:00:00,112,66
2012-10-12T19:00:00,49,30
2012-10-12T20:00:00,27,11
2012-10-12T21:00:00,16,10
2012-10-12T22:00:00,3,11
2012-10-12T23:00:00,15,9
2012-10-13T00:00:00,12,6
2012-10-13T01:00:00,6,5
2012-10-13T02:00:00,6,10
2012-10-13T03:00:00,0,4
2012-10-13T04:00:00,2,1
2012-10-13T05:00:00,3,7
2012-10-13T06:00:00,5,9
2012-10-13T07:00:00,13,17
2012-10-13T08:00:00,8,24
2012-10-13T09:00:00,20,21
2012-10-13T10:00:00,17,29
2012-10-13T11:00:00,14,28
2012-10-13T12:00:00,24,48
2012-10-13T13:00:00,26,38
2012-10-13T14:00:00,32,30
2012-10-13T15:00:00,20,21
2012-10-13T16:00:00,32,26
2012-10-13T17:00:00,25,25
2012-10-13T18:00:00,24,35
2012-10-13T19:00:00,17,10
2012-10-13T20:00:00,10,9
2012-10-13T21:00:00,6,4
2012-10-13T22:00:00,14,4
2012-10-13T23:00:00,15,4
2012-10-14T00:00:00,3,3
2012-10-14T01:00:00,4,5
2012-10-14T02:00:00,4,4
2012-10-14T03:00:00,0,4
2012-10-14T04:00:00,1,4
2012-10-14T05:00:00,0,3
2012-10-14T06:00:00,7,5
2012-10-14T07:00:00,4,10
2012-10-14T08:00:00,8,16
2012-10-14T09:00:00,26,28
2012-10-14T10:00:00,25,47
2012-10-14T11:00:00,18,63
2012-10-14T12:00:00,22,40
2012-10-14T13:00:00,33,49
2012-10-14T14:00:00,30,28
2012-10-14T15:00:00,15,22
2012-10-14T16:00:00,16,18
2012-10-14T17:00:00,10,27
2012-10-14T18:00:00,9,18
2012-10-14T19:00:00,13,10
2012-10-14T20:00:00,6,5
2012-10-14T21:00:00,4,8
2012-10-14T22:00:00,6,7
2012-10-14T23:00:00,7,3
2012-10-15T00:00:00,5,2
2012-10-15T01:00:00,1,2
2012-10-15T02:00:00,1,4
2012-10-15T03:00:00,2,1
2012-10-15T04:00:00,2,4
2012-10-15T05:00:00,7,19
2012-10-15T06:00:00,34,59
2012-10-15T07:00:00,58,167
2012-10-15T08:00:00,92,235
2012-10-15T09:00:00,73,130
2012-10-15T10:00:00,29,57
2012-10-15T11:00:00,21,45
2012-10-15T12:00:00,38,46
2012-10-15T13:00:00,29,42
2012-10-15T14:00:00,33,40
2012-10-15T15:00:00,58,49
2012-10-15T16:00:00,76,64
2012-10-15T17:00:00,239,96
2012-10-15T18:00:00,150,54
2012-10-15T19:00:00,51,27
2012-10-15T20:00:00,38,17
2012-10-15T21:00:00,18,18
2012-10-15T22:00:00,11,15
2012-10-15T23:00:00,7,7
2012-10-16T00:00:00,4,6
2012-10-16T01:00:00,3,2
2012-10-16T02:00:00,0,3
2012-10-16T03:00:00,4,1
2012-10-16T04:00:00,3,2
2012-10-16T05:00:00,8,21
2012-10-16T06:00:00,34,88
2012-10-16T07:00:00,69,187
2012-10-16T08:00:00,104,253
2012-10-16T09:00:00,77,130
2012-10-16T10:00:00,47,77
2012-10-16T11:00:00,36,47
2012-10-16T12:00:00,26,49
2012-10-16T13:00:00,42,48
2012-10-16T14:00:00,44,53
2012-10-16T15:00:00,86,77
2012-10-16T16:00:00,146,109
2012-10-16T17:00:00,353,147
2012-10-16T18:00:00,198,109
2012-10-16T19:00:00,90,45
2012-10-16T20:00:00,47,41
2012-10-16T21:00:00,30,35
2012-10-16T22:00:00,14,16
